Entry	WormBase	Gene Names	Organism
Q9XUH5	C32H11.6;	srlf-5 C32H11.6 CELE_C32H11.6	Caenorhabditis elegans
Q9XUH6	C32H11.5;	srlf-4 C32H11.5 CELE_C32H11.5	Caenorhabditis elegans
Q9XUH7	C32H11.4;	C32H11.4 CELE_C32H11.4	Caenorhabditis elegans
Q9XUH8	C32H11.3;	C32H11.3 CELE_C32H11.3	Caenorhabditis elegans
Q9XUH9	ZK39.8;	clec-99 CELE_ZK39.8 ZK39.8	Caenorhabditis elegans
Q9XUI0	ZK39.4;	clec-93 CELE_ZK39.4 ZK39.4	Caenorhabditis elegans
Q9XUI1	ZK39.3;	clec-94 CELE_ZK39.3 ZK39.3	Caenorhabditis elegans
Q9XUI2	ZK39.2;	clec-95 CELE_ZK39.2 ZK39.2	Caenorhabditis elegans
Q9XUI4	ZK39.6;	clec-97 CELE_ZK39.6 ZK39.6	Caenorhabditis elegans
Q9XUI5	ZK39.5;	clec-96 CELE_ZK39.5 ZK39.5	Caenorhabditis elegans
Q9XUI6	ZK39.7;	clec-98 CELE_ZK39.7 ZK39.7	Caenorhabditis elegans
Q9XUI8	ZC334.2;	ins-30 CELE_ZC334.2 ZC334.2	Caenorhabditis elegans
Q9XUI9	ZC334.1;	ins-26 CELE_ZC334.1 ZC334.1	Caenorhabditis elegans
Q9XUJ0	W09H1.1a;	CELE_W09H1.1 W09H1.1	Caenorhabditis elegans
Q9XUJ2	W09D6.5;	CELE_W09D6.5 W09D6.5	Caenorhabditis elegans
Q9XUJ3	W09D6.3;	str-246 CELE_W09D6.3 W09D6.3	Caenorhabditis elegans
Q9XUJ4	W09D6.1a;	CELE_W09D6.1 W09D6.1	Caenorhabditis elegans
Q9XUJ5	W09D6.4;	CELE_W09D6.4 W09D6.4	Caenorhabditis elegans
Q9XUJ6	W09D6.2;	str-261 CELE_W09D6.2 W09D6.2	Caenorhabditis elegans
Q9XUJ8	W07G1.7;	CELE_W07G1.7 W07G1.7	Caenorhabditis elegans
Q9XUJ9	W07G1.6;	sre-43 CELE_W07G1.6 W07G1.6	Caenorhabditis elegans
Q9XUK3	W07G1.2;	sre-44 CELE_W07G1.2 W07G1.2	Caenorhabditis elegans
Q9XUK4	W07G1.1;	CELE_W07G1.1 W07G1.1	Caenorhabditis elegans
Q9XUK6	W07A8.1;	srxa-1 CELE_W07A8.1 W07A8.1	Caenorhabditis elegans
Q9XUK8	W05B5.2;	npr-14 CELE_W05B5.2 W05B5.2	Caenorhabditis elegans
Q9XUL1	W04E12.5a;	CELE_W04E12.5 W04E12.5	Caenorhabditis elegans
Q9XUL2	W04E12.2;	CELE_W04E12.2 W04E12.2	Caenorhabditis elegans
Q9XUL3	W04E12.4;	CELE_W04E12.4 W04E12.4	Caenorhabditis elegans
Q9XUL4	W04E12.3;	CELE_W04E12.3 W04E12.3	Caenorhabditis elegans
Q9XUL5	W04E12.1;	fbxa-131 CELE_W04E12.1 W04E12.1	Caenorhabditis elegans
Q9XUL6	W04E12.6;	clec-49 CELE_W04E12.6 W04E12.6	Caenorhabditis elegans
Q9XUL7	W04E12.8;	clec-50 CELE_W04E12.8 W04E12.8	Caenorhabditis elegans
Q9XUL8	W04A8.4a;	CELE_W04A8.4 W04A8.4	Caenorhabditis elegans
Q9XUM1	W04A8.5;	CELE_W04A8.5 W04A8.5	Caenorhabditis elegans
Q9XUM2	W04A8.3;	CELE_W04A8.3 W04A8.3	Caenorhabditis elegans
Q9XUM3	W04A8.2;	CELE_W04A8.2 W04A8.2	Caenorhabditis elegans
Q9XUM6	W02A11.5;	bath-34 W02A11.5	Caenorhabditis elegans
Q9XUM8	W02A11.3;	toe-4 CELE_W02A11.3 W02A11.3	Caenorhabditis elegans
Q9XUM9	W02A11.8;	bath-35 CELE_W02A11.8 W02A11.8	Caenorhabditis elegans
